Model,Start Date,End Date,Average Sharpe Ratio,Average Return,Volatility,Final Portfolio Value
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,1.2377662891164796,0.0037767840962917,0.0220031662443432,2085842.584384457
"best_model_layers_2_seq_365_hunits[32, 148]_lr0.001_daydecay10_maxnorm8.pth",2017-01-03,2020-12-28,1.1977335177514303,0.004137197869404,0.0249085106725255,2216572.180699225
"best_model_layers_3_seq_180_hunits[32, 64, 148]_lr0.001_daydecay5_maxnorm8.pth",2017-01-03,2020-12-28,1.1573519954746776,0.003831905388706,0.0238754180503917,2091421.5149083368
"best_model_layers_2_seq_60_hunits[64, 148]_lr0.001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,1.1535402124002694,0.0038271154821567,0.0239243694492898,2088081.128504964
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay2_maxnorm15.pth",2017-01-03,2020-12-28,1.1370617732366142,0.0037401591430528,0.023719618205591,2051978.0404705848
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay5_maxnorm8.pth",2017-01-03,2020-12-28,1.1058731168188047,0.0035421765894476,0.0230975852939452,1976808.608095597
"best_model_layers_3_seq_60_hunits[32, 64, 148]_lr0.001_daydecay10_maxnorm3.pth",2017-01-03,2020-12-28,1.0810472741084431,0.0038066332776142,0.0253920652649438,2065178.0666412604
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay10_maxnorm15.pth",2017-01-03,2020-12-28,1.0808181423968488,0.0032030473173029,0.0213703876484946,1856029.1821358849
"best_model_layers_2_seq_30_hunits[64, 148]_lr0.001_daydecay10_maxnorm1.pth",2017-01-03,2020-12-28,1.0589825982774403,0.0036045205790672,0.0245448485979505,1989434.766271916
"best_model_layers_2_seq_180_hunits[64, 148]_lr0.001_daydecay10_maxnorm1.pth",2017-01-03,2020-12-28,1.0342915332973244,0.0035079348101718,0.0244573960472009,1949866.8324267883
